city,date,dl_applied,eliminator,overs,player_of_match,result,season,team1,team2,toss_decision,toss_winner,umpire1,umpire2,umpire3,venue,win_by_runs,win_by_wickets,winner
Jaipur,2008-05-11,,,20,SR Watson,,2008,Rajasthan Royals,Delhi Daredevils,field,Rajasthan Royals,SJ Davis,RE Koertzen,,Sawai Mansingh Stadium,,3,Rajasthan Royals
Jaipur,2010-04-11,,,20,SR Tendulkar,,2010,Rajasthan Royals,Mumbai Indians,field,Rajasthan Royals,BR Doctrove,SK Tarapore,,Sawai Mansingh Stadium,37,,Mumbai Indians
Pune,2016-05-01,,,20,RG Sharma,,2016,Rising Pune Supergiants,Mumbai Indians,field,Mumbai Indians,AY Dandekar,RJ Tucker,,Maharashtra Cricket Association Stadium,,8,Mumbai Indians
Indore,2018-05-06,,,20,Mujeeb Ur Rahman,,2018,Kings XI Punjab,Rajasthan Royals,field,Kings XI Punjab,C Shamshuddin,S Ravi,,Holkar Cricket Stadium,,6,Kings XI Punjab
Kolkata,2016-05-22,,,20,YK Pathan,,2016,Kolkata Knight Riders,Sunrisers Hyderabad,field,Sunrisers Hyderabad,KN Ananthapadmanabhan,M Erasmus,,Eden Gardens,22,,Kolkata Knight Riders
Hyderabad,2018-04-12,,,20,Rashid Khan,,2018,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad,NJ Llong,CK Nandan,,"Rajiv Gandhi International Stadium, Uppal",,1,Sunrisers Hyderabad
East London,2009-05-04,,,20,MS Dhoni,,2009,Chennai Super Kings,Deccan Chargers,bat,Chennai Super Kings,BR Doctrove,M Erasmus,,Buffalo Park,78,,Chennai Super Kings
Bangalore,2008-05-28,,,20,CRD Fernando,,2008,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,BF Bowden,AV Jayaprakash,,M Chinnaswamy Stadium,,9,Mumbai Indians
,2014-04-28,,,20,Sandeep Sharma,,2014,Kings XI Punjab,Royal Challengers Bangalore,field,Kings XI Punjab,BF Bowden,S Ravi,,Dubai International Cricket Stadium,,5,Kings XI Punjab
Bangalore,2010-04-17,,,20,R McLaren,,2010,Royal Challengers Bangalore,Mumbai Indians,field,Royal Challengers Bangalore,HDPK Dharmasena,SJA Taufel,,M Chinnaswamy Stadium,57,,Mumbai Indians
