city,date,dl_applied,eliminator,overs,player_of_match,result,season,team1,team2,toss_decision,toss_winner,umpire1,umpire2,umpire3,venue,win_by_runs,win_by_wickets,winner
Indore,2017-04-10,,,20,AR Patel,,2017,Kings XI Punjab,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,AK Chaudhary,C Shamshuddin,,Holkar Cricket Stadium,,8,Kings XI Punjab
Durban,2009-05-13,,,20,R Bhatia,,2009,Deccan Chargers,Delhi Daredevils,field,Deccan Chargers,DJ Harper,SL Shastri,,Kingsmead,12,,Delhi Daredevils
Bangalore,2010-03-25,,,20,KM Jadhav,,2010,Royal Challengers Bangalore,Delhi Daredevils,field,Royal Challengers Bangalore,BG Jerling,RE Koertzen,,M Chinnaswamy Stadium,17,,Delhi Daredevils
Mumbai,2008-05-30,,,20,SR Watson,,2008,Delhi Daredevils,Rajasthan Royals,field,Delhi Daredevils,BF Bowden,RE Koertzen,,Wankhede Stadium,105,,Rajasthan Royals
Durban,2009-05-14,,,20,LRPL Taylor,,2009,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,BR Doctrove,DJ Harper,,Kingsmead,,2,Royal Challengers Bangalore
Visakhapatnam,2016-05-13,,,20,MP Stoinis,,2016,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,HDPK Dharmasena,CK Nandan,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,,7,Kings XI Punjab
Kolkata,2013-04-03,,,20,SP Narine,,2013,Kolkata Knight Riders,Delhi Daredevils,field,Kolkata Knight Riders,S Ravi,SJA Taufel,,Eden Gardens,,6,Kolkata Knight Riders
Kolkata,2012-04-05,,,20,IK Pathan,,2012,Kolkata Knight Riders,Delhi Daredevils,field,Delhi Daredevils,S Asnani,HDPK Dharmasena,,Eden Gardens,,8,Delhi Daredevils
Chennai,2012-05-04,,,20,SK Raina,,2012,Chennai Super Kings,Deccan Chargers,bat,Chennai Super Kings,HDPK Dharmasena,BNJ Oxenford,,"MA Chidambaram Stadium, Chepauk",10,,Chennai Super Kings
Delhi,2019-04-20,,,20,SS Iyer,,2019,Delhi Capitals,Kings XI Punjab,field,Delhi Capitals,UV Gandhe,C Shamshuddin,,Feroz Shah Kotla,,5,Delhi Capitals
Delhi,2017-04-17,,,20,NM Coulter-Nile,,2017,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils,Nitin Menon,CK Nandan,,Feroz Shah Kotla,,4,Kolkata Knight Riders
Ranchi,2013-05-15,,,20,MK Pandey,,2013,Kolkata Knight Riders,Pune Warriors,field,Kolkata Knight Riders,NJ Llong,K Srinath,,JSCA International Stadium Complex,7,,Pune Warriors
Chennai,2013-04-28,,,20,MEK Hussey,,2013,Chennai Super Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,Aleem Dar,SJA Taufel,,"MA Chidambaram Stadium, Chepauk",14,,Chennai Super Kings
Bangalore,2015-04-13,,,20,DA Warner,,2015,Royal Challengers Bangalore,Sunrisers Hyderabad,field,Sunrisers Hyderabad,RM Deshpande,RK Illingworth,,M Chinnaswamy Stadium,,8,Sunrisers Hyderabad
Jaipur,2019-04-22,,,20,RR Pant,,2019,Rajasthan Royals,Delhi Capitals,field,Delhi Capitals,A Nand Kishore,S Ravi,,Sawai Mansingh Stadium,,6,Delhi Capitals
Mumbai,2012-05-06,,,20,DR Smith,,2012,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,Asad Rauf,S Asnani,,Wankhede Stadium,,2,Mumbai Indians
Mumbai,2011-04-27,,,20,DE Bollinger,,2011,Pune Warriors,Chennai Super Kings,bat,Pune Warriors,Asad Rauf,SL Shastri,,Dr DY Patil Sports Academy,,8,Chennai Super Kings
Dharamsala,2013-05-18,,,20,Azhar Mahmood,,2013,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians,HDPK Dharmasena,CK Nandan,,Himachal Pradesh Cricket Association Stadium,50,,Kings XI Punjab
Mumbai,2013-04-27,,,20,DR Smith,,2013,Mumbai Indians,Royal Challengers Bangalore,bat,Mumbai Indians,Asad Rauf,S Asnani,,Wankhede Stadium,58,,Mumbai Indians
Johannesburg,2009-05-02,,,20,SB Jakati,,2009,Chennai Super Kings,Delhi Daredevils,field,Delhi Daredevils,DJ Harper,RE Koertzen,,New Wanderers Stadium,18,,Chennai Super Kings
Bengaluru,2018-04-13,,,20,UT Yadav,,2018,Royal Challengers Bangalore,Kings XI Punjab,field,Royal Challengers Bangalore,A Deshmukh,S Ravi,,M.Chinnaswamy Stadium,,4,Royal Challengers Bangalore
Mumbai,2018-05-06,,,20,HH Pandya,,2018,Mumbai Indians,Kolkata Knight Riders,field,Kolkata Knight Riders,HDPK Dharmasena,A Deshmukh,,Wankhede Stadium,13,,Mumbai Indians
Kolkata,2010-04-17,,,20,JD Unadkat,,2010,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,BG Jerling,RB Tiffin,,Eden Gardens,,8,Kolkata Knight Riders
Abu Dhabi,2014-04-21,,,20,SK Raina,,2014,Chennai Super Kings,Delhi Daredevils,bat,Chennai Super Kings,RK Illingworth,C Shamshuddin,,Sheikh Zayed Stadium,93,,Chennai Super Kings
Centurion,2009-04-30,,,20,DP Nannes,,2009,Deccan Chargers,Delhi Daredevils,field,Delhi Daredevils,GAV Baxter,AM Saheba,,SuperSport Park,,6,Delhi Daredevils
Pune,2018-04-30,,,20,SR Watson,,2018,Chennai Super Kings,Delhi Daredevils,field,Delhi Daredevils,AY Dandekar,C Shamshuddin,,Maharashtra Cricket Association Stadium,13,,Chennai Super Kings
Kanpur,2016-05-19,,,20,DR Smith,,2016,Gujarat Lions,Kolkata Knight Riders,field,Gujarat Lions,AK Chaudhary,CK Nandan,,Green Park,,6,Gujarat Lions
Durban,2009-04-27,,,20,HH Gibbs,,2009,Chennai Super Kings,Deccan Chargers,field,Deccan Chargers,IL Howell,TH Wijewardene,,Kingsmead,,6,Deccan Chargers
Mumbai,2018-05-13,,,20,JC Buttler,,2018,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,NN Menon,Nitin Menon,S Ravi,Wankhede Stadium,,7,Rajasthan Royals
Jaipur,2012-05-20,,,20,DR Smith,,2012,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,HDPK Dharmasena,C Shamshuddin,,Sawai Mansingh Stadium,,10,Mumbai Indians
Pune,2012-04-14,,,20,JD Ryder,,2012,Pune Warriors,Chennai Super Kings,bat,Chennai Super Kings,Aleem Dar,BNJ Oxenford,,Subrata Roy Sahara Stadium,,7,Pune Warriors
Mumbai,2015-05-01,,,20,AT Rayudu,,2015,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,HDPK Dharmasena,CK Nandan,,Wankhede Stadium,8,,Mumbai Indians
Bangalore,2014-05-09,,,20,Sandeep Sharma,,2014,Royal Challengers Bangalore,Kings XI Punjab,field,Royal Challengers Bangalore,S Ravi,K Srinath,,M Chinnaswamy Stadium,32,,Kings XI Punjab
Mumbai,2013-04-13,,,20,RG Sharma,,2013,Mumbai Indians,Pune Warriors,bat,Mumbai Indians,S Ravi,SJA Taufel,,Wankhede Stadium,41,,Mumbai Indians
Hyderabad,2013-05-04,,,20,DJG Sammy,,2013,Sunrisers Hyderabad,Delhi Daredevils,bat,Delhi Daredevils,Asad Rauf,S Asnani,,"Rajiv Gandhi International Stadium, Uppal",,6,Sunrisers Hyderabad
Durban,2009-04-24,,,20,RS Bopara,,2009,Royal Challengers Bangalore,Kings XI Punjab,bat,Royal Challengers Bangalore,BR Doctrove,TH Wijewardene,,Kingsmead,,7,Kings XI Punjab
Mumbai,2012-05-16,,,20,SP Narine,,2012,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,S Das,BR Doctrove,,Wankhede Stadium,32,,Kolkata Knight Riders
Mumbai,2012-04-16,,,20,S Nadeem,,2012,Mumbai Indians,Delhi Daredevils,field,Delhi Daredevils,BF Bowden,SK Tarapore,,Wankhede Stadium,,7,Delhi Daredevils
Jaipur,2018-05-08,,,20,JC Buttler,,2018,Rajasthan Royals,Kings XI Punjab,bat,Rajasthan Royals,M Erasmus,Nitin Menon,,Sawai Mansingh Stadium,15,,Rajasthan Royals
Chandigarh,2013-04-16,,,20,MS Gony,,2013,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,CK Nandan,SJA Taufel,,"Punjab Cricket Association Stadium, Mohali",4,,Kings XI Punjab
Kolkata,2015-05-09,,,20,AD Russell,,2015,Kolkata Knight Riders,Kings XI Punjab,bat,Kings XI Punjab,AK Chaudhary,HDPK Dharmasena,,Eden Gardens,,1,Kolkata Knight Riders
Kolkata,2013-05-03,,,20,YK Pathan,,2013,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,HDPK Dharmasena,CK Nandan,,Eden Gardens,,8,Kolkata Knight Riders
Indore,2011-05-15,,,20,BJ Hodge,,2011,Kochi Tuskers Kerala,Rajasthan Royals,field,Kochi Tuskers Kerala,PR Reiffel,RJ Tucker,,Holkar Cricket Stadium,,8,Kochi Tuskers Kerala
Ranchi,2014-05-22,,,20,DA Warner,,2014,Chennai Super Kings,Sunrisers Hyderabad,field,Sunrisers Hyderabad,BNJ Oxenford,C Shamshuddin,,JSCA International Stadium Complex,,6,Sunrisers Hyderabad
Centurion,2009-05-07,D/L,,20,ML Hayden,,2009,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,DJ Harper,TH Wijewardene,,SuperSport Park,12,,Chennai Super Kings
Hyderabad,2018-04-26,,,20,AS Rajpoot,,2018,Sunrisers Hyderabad,Kings XI Punjab,field,Kings XI Punjab,YC Barde,CK Nandan,,"Rajiv Gandhi International Stadium, Uppal",13,,Sunrisers Hyderabad
Abu Dhabi,2014-04-16,,,20,JH Kallis,,2014,Mumbai Indians,Kolkata Knight Riders,bat,Kolkata Knight Riders,M Erasmus,RK Illingworth,,Sheikh Zayed Stadium,41,,Kolkata Knight Riders
Kolkata,2019-03-27,,,20,AD Russell,,2019,Kolkata Knight Riders,Kings XI Punjab,field,Kings XI Punjab,VA Kulkarni,AK Chaudhary,,Eden Gardens,28,,Kolkata Knight Riders
,2014-04-27,,,20,M Vijay,,2014,Delhi Daredevils,Mumbai Indians,bat,Mumbai Indians,Aleem Dar,VA Kulkarni,,Sharjah Cricket Stadium,,6,Delhi Daredevils
Mumbai,2008-05-07,,,20,A Nehra,,2008,Mumbai Indians,Rajasthan Royals,field,Mumbai Indians,DJ Harper,RE Koertzen,,Dr DY Patil Sports Academy,,7,Mumbai Indians
Ahmedabad,2010-03-20,,,20,AA Jhunjhunwala,,2010,Rajasthan Royals,Kolkata Knight Riders,bat,Rajasthan Royals,RE Koertzen,RB Tiffin,,"Sardar Patel Stadium, Motera",34,,Rajasthan Royals
Centurion,2009-05-07,,,20,A Singh,,2009,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,K Hariharan,DJ Harper,,SuperSport Park,,7,Rajasthan Royals
Bangalore,2016-05-24,,,20,AB de Villiers,,2016,Gujarat Lions,Royal Challengers Bangalore,field,Royal Challengers Bangalore,AK Chaudhary,HDPK Dharmasena,,M Chinnaswamy Stadium,,4,Royal Challengers Bangalore
Delhi,2018-04-23,,,20,AS Rajpoot,,2018,Delhi Daredevils,Kings XI Punjab,field,Delhi Daredevils,A Nand Kishore,CK Nandan,,Feroz Shah Kotla,4,,Kings XI Punjab
Hyderabad,2019-03-31,,,20,JM Bairstow,,2019,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Royal Challengers Bangalore,KN Ananthapadmanabhan,S Ravi,,"Rajiv Gandhi International Stadium, Uppal",118,,Sunrisers Hyderabad
,2014-04-17,,,20,YS Chahal,,2014,Delhi Daredevils,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Aleem Dar,S Ravi,,Sharjah Cricket Stadium,,8,Royal Challengers Bangalore
Mumbai,2014-05-06,,,20,RG Sharma,,2014,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,S Ravi,K Srinath,,Wankhede Stadium,19,,Mumbai Indians
Pune,2013-04-07,,,20,M Vohra,,2013,Pune Warriors,Kings XI Punjab,bat,Pune Warriors,S Asnani,SJA Taufel,,Subrata Roy Sahara Stadium,,8,Kings XI Punjab
Chandigarh,2013-05-11,,,20,PA Patel,,2013,Kings XI Punjab,Sunrisers Hyderabad,field,Kings XI Punjab,S Das,RJ Tucker,,"Punjab Cricket Association Stadium, Mohali",30,,Sunrisers Hyderabad
Mumbai,2011-04-20,,,20,MM Patel,,2011,Mumbai Indians,Pune Warriors,bat,Pune Warriors,Asad Rauf,AM Saheba,,Wankhede Stadium,,7,Mumbai Indians
Cape Town,2009-04-19,,,20,RP Singh,,2009,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders,MR Benson,BR Doctrove,,Newlands,,8,Deccan Chargers
Jaipur,2012-05-13,,,20,A Chandila,,2012,Rajasthan Royals,Pune Warriors,bat,Rajasthan Royals,BF Bowden,SK Tarapore,,Sawai Mansingh Stadium,45,,Rajasthan Royals
Chennai,2012-04-19,,,20,KMDN Kulasekara,,2012,Chennai Super Kings,Pune Warriors,field,Pune Warriors,Asad Rauf,S Das,,"MA Chidambaram Stadium, Chepauk",13,,Chennai Super Kings
Delhi,2018-05-20,,,20,A Mishra,,2018,Delhi Daredevils,Mumbai Indians,bat,Delhi Daredevils,HDPK Dharmasena,CK Nandan,,Feroz Shah Kotla,11,,Delhi Daredevils
Mumbai,2015-04-17,,,20,A Nehra,,2015,Mumbai Indians,Chennai Super Kings,bat,Mumbai Indians,AK Chaudhary,M Erasmus,,Wankhede Stadium,,6,Chennai Super Kings
Hyderabad,2013-04-07,,Sunrisers Hyderabad,20,GH Vihari,tie,2013,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,AK Chaudhary,S Ravi,,"Rajiv Gandhi International Stadium, Uppal",,,
Mumbai,2015-05-05,,,20,Harbhajan Singh,,2015,Mumbai Indians,Delhi Daredevils,bat,Delhi Daredevils,HDPK Dharmasena,CB Gaffaney,,Wankhede Stadium,,5,Mumbai Indians
Hyderabad,2013-05-08,,,20,SK Raina,,2013,Sunrisers Hyderabad,Chennai Super Kings,field,Sunrisers Hyderabad,S Das,NJ Llong,,"Rajiv Gandhi International Stadium, Uppal",77,,Chennai Super Kings
Hyderabad,2017-05-08,,,20,S Dhawan,,2017,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,KN Ananthapadmanabhan,M Erasmus,,"Rajiv Gandhi International Stadium, Uppal",,7,Sunrisers Hyderabad
Cape Town,2009-04-19,D/L,,20,DL Vettori,,2009,Delhi Daredevils,Kings XI Punjab,field,Delhi Daredevils,MR Benson,SD Ranade,,Newlands,,10,Delhi Daredevils
Delhi,2018-05-18,,,20,HV Patel,,2018,Delhi Daredevils,Chennai Super Kings,field,Chennai Super Kings,VA Kulkarni,HDPK Dharmasena,,Feroz Shah Kotla,34,,Delhi Daredevils
Kolkata,2019-04-28,,,20,AD Russell,,2019,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,IJ Gould,Nitin Menon,,Eden Gardens,34,,Kolkata Knight Riders
Pune,2012-05-11,,,20,CH Gayle,,2012,Pune Warriors,Royal Challengers Bangalore,field,Pune Warriors,BF Bowden,SK Tarapore,,Subrata Roy Sahara Stadium,35,,Royal Challengers Bangalore
Pune,2012-04-24,,,20,V Sehwag,,2012,Pune Warriors,Delhi Daredevils,bat,Pune Warriors,S Ravi,RJ Tucker,,Subrata Roy Sahara Stadium,,8,Delhi Daredevils
Bangalore,2013-04-04,,,20,CH Gayle,,2013,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,VA Kulkarni,C Shamshuddin,,M Chinnaswamy Stadium,2,,Royal Challengers Bangalore
Durban,2009-05-14,,,20,SK Warne,,2009,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,BR Doctrove,DJ Harper,,Kingsmead,2,,Rajasthan Royals
Ahmedabad,2010-03-28,,,20,NV Ojha,,2010,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,SS Hazare,SJA Taufel,,"Sardar Patel Stadium, Motera",17,,Rajasthan Royals
Mumbai,2008-05-31,,,20,M Ntini,,2008,Chennai Super Kings,Kings XI Punjab,bat,Kings XI Punjab,Asad Rauf,DJ Harper,,Wankhede Stadium,,9,Chennai Super Kings
Pune,2017-04-11,,,20,SV Samson,,2017,Rising Pune Supergiant,Delhi Daredevils,field,Rising Pune Supergiant,AY Dandekar,S Ravi,,Maharashtra Cricket Association Stadium,97,,Delhi Daredevils
Kolkata,2019-03-24,,,20,AD Russell,,2019,Kolkata Knight Riders,Sunrisers Hyderabad,field,Kolkata Knight Riders,CB Gaffaney,AK Chaudhary,,Eden Gardens,,6,Kolkata Knight Riders
Hyderabad,2016-05-12,,,20,CH Morris,,2016,Sunrisers Hyderabad,Delhi Daredevils,field,Delhi Daredevils,K Bharatan,M Erasmus,,"Rajiv Gandhi International Stadium, Uppal",,7,Delhi Daredevils
Rajkot,2016-04-21,,,20,B Kumar,,2016,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,K Bharatan,HDPK Dharmasena,,Saurashtra Cricket Association Stadium,,10,Sunrisers Hyderabad
Centurion,2009-05-12,,,20,Harbhajan Singh,,2009,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,SS Hazare,RE Koertzen,,SuperSport Park,,8,Mumbai Indians
Jaipur,2013-04-27,,,20,JP Faulkner,,2013,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,VA Kulkarni,K Srinath,,Sawai Mansingh Stadium,,8,Rajasthan Royals
Pune,2013-05-19,,,20,LJ Wright,,2013,Pune Warriors,Delhi Daredevils,bat,Pune Warriors,NJ Llong,SJA Taufel,,Subrata Roy Sahara Stadium,38,,Pune Warriors
Kochi,2011-04-27,,,20,I Sharma,,2011,Kochi Tuskers Kerala,Deccan Chargers,field,Kochi Tuskers Kerala,HDPK Dharmasena,AL Hill,,Nehru Stadium,55,,Deccan Chargers
Chandigarh,2012-05-05,,,20,SR Watson,,2012,Kings XI Punjab,Rajasthan Royals,bat,Rajasthan Royals,JD Cloete,SJA Taufel,,"Punjab Cricket Association Stadium, Mohali",43,,Rajasthan Royals
Bengaluru,2019-04-21,,,20,PA Patel,,2019,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,RJ Tucker,VA Kulkarni,,M.Chinnaswamy Stadium,1,,Royal Challengers Bangalore
Raipur,2013-04-28,,,20,DA Warner,,2013,Delhi Daredevils,Pune Warriors,field,Pune Warriors,CK Nandan,S Ravi,,Shaheed Veer Narayan Singh International Stadium,15,,Delhi Daredevils
Mumbai,2013-05-13,,,20,KA Pollard,,2013,Mumbai Indians,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,AK Chaudhary,SJA Taufel,,Wankhede Stadium,,7,Mumbai Indians
Hyderabad,2019-04-21,,,20,KK Ahmed,,2019,Sunrisers Hyderabad,Kolkata Knight Riders,field,Sunrisers Hyderabad,NJ Llong,Nitin Menon,,"Rajiv Gandhi International Stadium, Uppal",,9,Sunrisers Hyderabad
Kolkata,2012-05-05,,,20,SP Narine,,2012,Kolkata Knight Riders,Pune Warriors,bat,Kolkata Knight Riders,BF Bowden,SK Tarapore,,Eden Gardens,7,,Kolkata Knight Riders
Chennai,2012-04-04,,,20,RE Levi,,2012,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,JD Cloete,SJA Taufel,,"MA Chidambaram Stadium, Chepauk",,8,Mumbai Indians
Hyderabad,2017-04-17,,,20,B Kumar,,2017,Sunrisers Hyderabad,Kings XI Punjab,field,Kings XI Punjab,AY Dandekar,A Deshmukh,,"Rajiv Gandhi International Stadium, Uppal",5,,Sunrisers Hyderabad
Bangalore,2016-05-07,,,20,V Kohli,,2016,Royal Challengers Bangalore,Rising Pune Supergiants,field,Royal Challengers Bangalore,CB Gaffaney,BNJ Oxenford,,M Chinnaswamy Stadium,,7,Royal Challengers Bangalore
Centurion,2009-05-22,,,20,AC Gilchrist,,2009,Delhi Daredevils,Deccan Chargers,field,Deccan Chargers,BR Doctrove,DJ Harper,,SuperSport Park,,6,Deccan Chargers
Chandigarh,2016-05-15,,,20,HM Amla,,2016,Kings XI Punjab,Sunrisers Hyderabad,bat,Kings XI Punjab,KN Ananthapadmanabhan,M Erasmus,,"Punjab Cricket Association IS Bindra Stadium, Mohali",,7,Sunrisers Hyderabad
Bloemfontein,2009-05-17,,,20,AB de Villiers,,2009,Delhi Daredevils,Rajasthan Royals,bat,Delhi Daredevils,SS Hazare,IL Howell,,OUTsurance Oval,14,,Delhi Daredevils
Bangalore,2017-05-19,,,20,KV Sharma,,2017,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,NJ Llong,Nitin Menon,,M Chinnaswamy Stadium,,6,Mumbai Indians
Mumbai,2019-04-15,,,20,SL Malinga,,2019,Mumbai Indians,Royal Challengers Bangalore,field,Mumbai Indians,M Erasmus,Nitin Menon,,Wankhede Stadium,,5,Mumbai Indians
Mumbai,2012-04-29,,,20,DW Steyn,,2012,Mumbai Indians,Deccan Chargers,field,Mumbai Indians,AK Chaudhary,BNJ Oxenford,,Wankhede Stadium,,5,Mumbai Indians
Pune,2012-04-08,,,20,MN Samuels,,2012,Pune Warriors,Kings XI Punjab,bat,Pune Warriors,S Das,SJA Taufel,,Subrata Roy Sahara Stadium,22,,Pune Warriors
Delhi,2013-04-18,,,20,MEK Hussey,,2013,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,M Erasmus,VA Kulkarni,,Feroz Shah Kotla,86,,Chennai Super Kings
Chennai,2008-04-23,,,20,ML Hayden,,2008,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,DJ Harper,GA Pratapkumar,,"MA Chidambaram Stadium, Chepauk",6,,Chennai Super Kings
Pune,2012-04-26,,,20,CL White,,2012,Pune Warriors,Deccan Chargers,bat,Deccan Chargers,S Ravi,RJ Tucker,,Subrata Roy Sahara Stadium,18,,Deccan Chargers
Visakhapatnam,2012-04-09,,,20,RG Sharma,,2012,Deccan Chargers,Mumbai Indians,bat,Deccan Chargers,AK Chaudhary,JD Cloete,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,,5,Mumbai Indians
Kolkata,2019-04-12,,,20,S Dhawan,,2019,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,YC Barde,CK Nandan,,Eden Gardens,,7,Delhi Capitals
Bangalore,2013-04-23,,,20,CH Gayle,,2013,Royal Challengers Bangalore,Pune Warriors,field,Pune Warriors,Aleem Dar,C Shamshuddin,,M Chinnaswamy Stadium,130,,Royal Challengers Bangalore
Kolkata,2013-05-24,,,20,Harbhajan Singh,,2013,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,C Shamshuddin,SJA Taufel,,Eden Gardens,,4,Mumbai Indians
Mumbai,2011-05-25,,,20,MM Patel,,2011,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,Asad Rauf,SJA Taufel,,Wankhede Stadium,,4,Mumbai Indians
Delhi,2015-04-20,,,20,UT Yadav,,2015,Delhi Daredevils,Kolkata Knight Riders,field,Kolkata Knight Riders,SD Fry,CB Gaffaney,,Feroz Shah Kotla,,6,Kolkata Knight Riders
Chennai,2013-05-02,,,20,SK Raina,,2013,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,M Erasmus,VA Kulkarni,,"MA Chidambaram Stadium, Chepauk",15,,Chennai Super Kings
Jaipur,2013-04-14,,,20,JP Faulkner,,2013,Rajasthan Royals,Kings XI Punjab,field,Rajasthan Royals,Aleem Dar,C Shamshuddin,,Sawai Mansingh Stadium,,6,Rajasthan Royals
Raipur,2015-05-09,,,20,MC Henriques,,2015,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,VA Kulkarni,S Ravi,,Shaheed Veer Narayan Singh International Stadium,6,,Sunrisers Hyderabad
Delhi,2018-05-10,,,20,S Dhawan,,2018,Delhi Daredevils,Sunrisers Hyderabad,bat,Delhi Daredevils,AY Dandekar,C Shamshuddin,,Feroz Shah Kotla,,9,Sunrisers Hyderabad
Bangalore,2012-04-17,,,20,CH Gayle,,2012,Royal Challengers Bangalore,Pune Warriors,bat,Pune Warriors,S Asnani,S Das,,M Chinnaswamy Stadium,,6,Royal Challengers Bangalore
Delhi,2012-05-17,,,20,CH Gayle,,2012,Delhi Daredevils,Royal Challengers Bangalore,field,Delhi Daredevils,HDPK Dharmasena,C Shamshuddin,,Feroz Shah Kotla,21,,Royal Challengers Bangalore
Mumbai,2017-05-01,,,20,RG Sharma,,2017,Mumbai Indians,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,AK Chaudhary,CB Gaffaney,,Wankhede Stadium,,5,Mumbai Indians
Mumbai,2013-05-05,,,20,MG Johnson,,2013,Mumbai Indians,Chennai Super Kings,bat,Mumbai Indians,HDPK Dharmasena,CK Nandan,,Wankhede Stadium,60,,Mumbai Indians
Delhi,2014-05-10,D/L,,20,DW Steyn,,2014,Delhi Daredevils,Sunrisers Hyderabad,field,Sunrisers Hyderabad,RM Deshpande,BNJ Oxenford,,Feroz Shah Kotla,,8,Sunrisers Hyderabad
Kolkata,2013-04-14,,,20,G Gambhir,,2013,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,M Erasmus,VA Kulkarni,,Eden Gardens,48,,Kolkata Knight Riders
Hyderabad,2011-04-14,,,20,DW Steyn,,2011,Deccan Chargers,Royal Challengers Bangalore,field,Royal Challengers Bangalore,RE Koertzen,S Ravi,,"Rajiv Gandhi International Stadium, Uppal",33,,Deccan Chargers
Port Elizabeth,2009-04-26,,,20,TM Dilshan,,2009,Royal Challengers Bangalore,Delhi Daredevils,bat,Royal Challengers Bangalore,S Asnani,BG Jerling,,St George's Park,,6,Delhi Daredevils
Kolkata,2012-04-13,,,20,Shakib Al Hasan,,2012,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,Asad Rauf,S Asnani,,Eden Gardens,,5,Kolkata Knight Riders
Pune,2012-05-19,,,20,Shakib Al Hasan,,2012,Pune Warriors,Kolkata Knight Riders,bat,Kolkata Knight Riders,S Asnani,BR Doctrove,,Subrata Roy Sahara Stadium,34,,Kolkata Knight Riders
Delhi,2018-05-12,,,20,AB de Villiers,,2018,Delhi Daredevils,Royal Challengers Bangalore,field,Royal Challengers Bangalore,KN Ananthapadmanabhan,HDPK Dharmasena,,Feroz Shah Kotla,,5,Royal Challengers Bangalore
Chandigarh,2010-03-13,,,20,G Gambhir,,2010,Kings XI Punjab,Delhi Daredevils,field,Delhi Daredevils,BR Doctrove,S Ravi,,"Punjab Cricket Association Stadium, Mohali",,5,Delhi Daredevils
Mumbai,2008-05-14,,,20,ST Jayasuriya,,2008,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,BR Doctrove,AM Saheba,,Wankhede Stadium,,9,Mumbai Indians
,2014-04-20,,,20,GJ Maxwell,,2014,Rajasthan Royals,Kings XI Punjab,field,Kings XI Punjab,BF Bowden,M Erasmus,,Sharjah Cricket Stadium,,7,Kings XI Punjab
East London,2009-05-01,,,20,JP Duminy,,2009,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,M Erasmus,SK Tarapore,,Buffalo Park,9,,Mumbai Indians
Raipur,2016-05-20,,,20,KK Nair,,2016,Delhi Daredevils,Sunrisers Hyderabad,field,Delhi Daredevils,A Nand Kishore,BNJ Oxenford,,Shaheed Veer Narayan Singh International Stadium,,6,Delhi Daredevils
